Dataset,Approach,nMAE_avg,nMAE_std,nMAE_many_avg,nMAE_many_std,nMAE_medium_avg,nMAE_medium_std,nMAE_few_avg,nMAE_few_std
BPIC_2017_W,Vanilla,0.8888657593125735,0.0021249429580366755,0.5044117914719075,0.01139681373754963,0.7829552768618729,0.014096475427446447,3.753818006865628,0.016688904436819856
HelpDesk,BMSE,0.9071237633049616,0.02009648123714946,0.9612644665777573,0.02983794482403758,0.46616686665123935,0.01510261703909022,1.267752685688353,0.02384114135951447
HelpDesk,CSW,0.9144479999253707,0.005692627992208567,0.9728022143124843,0.00583784676864734,0.4615096835389605,0.005929663919792447,1.2506883871111136,0.0129690698446384
HelpDesk,EAL,0.9099069767324639,0.00971493122348727,0.964146644332146,0.014369740854133157,0.46702202167609563,0.00975385988631368,1.2738300873077204,0.008989644399148618
HelpDesk,SERA,1.8179493371429298,0.017459297525768407,2.1666716095166336,0.022357329001228856,0.6081398217111933,0.007968619951714226,0.3118917720728673,0.004859246742290784
HelpDesk,SMOGN,0.8590204785412245,0.015297543815374386,0.8823547384388852,0.02809321634895563,0.5363090981753823,0.037556916968015205,1.3259947789566844,0.034975236961130696
HelpDesk,Survival,0.8835573220097993,0.016819218188566444,0.9284773597390267,0.02669579507109947,0.48227458681987656,0.024984988877970314,1.2659601981163526,0.02855368502202981
HelpDesk,Vanilla,0.8701478835600606,0.00801791697732024,0.8713752376284386,0.012569918314261791,0.6199154484509635,0.010561008756966233,1.442497536787391,0.00855928717315609
P2P,BMSE,0.839623859183277,0.034994524092608933,0.2962732811925323,0.05050679079385372,0.33433208756021626,0.08016766625822207,1.5340395862226468,0.05059640803355295
P2P,CSW,0.8779526260700685,0.07071057607676258,0.28650765821052204,0.0686638013001645,0.176873837142151,0.0546271898939165,1.6971533373921464,0.12581544097426894
P2P,EAL,0.8314800250497922,0.011181177933960012,0.2447367969233918,0.036780071461887096,0.26052418884292144,0.06147094455047766,1.5919619853685374,0.05996767178286029
P2P,SERA,0.9346524756436848,0.12412056380987055,0.9420026718669678,0.3184244185701594,0.5935698178706117,0.13379277229708905,1.0710926369470468,0.04974050778297719
P2P,SMOGN,0.8185292587395704,0.024020574419995114,0.17142718435116755,0.01209379392146616,0.21001693465193716,0.01913724253462428,1.6483656083628084,0.04883592449826756
P2P,Survival,0.8406374962888077,0.02501651529373041,0.4708004315294259,0.0888498767812504,0.5146695805809098,0.13285923524315,1.305768746022507,0.08131212000739528
P2P,Vanilla,0.882394498605114,0.007660031696514361,0.13905359541026546,0.007336860750985055,0.2050544766434257,0.0022577691952440863,1.826562375917813,0.016916387130122865
Sepsis,BMSE,1.7067167012757818,0.09869782726220427,1.6218267948200382,0.14043022860982227,1.3188066234061264,0.01943730660452367,6.35533017214602,0.11984621287920559
Sepsis,CSW,0.9406435569526395,0.004727345077255355,0.22636356838034138,0.007439083372533855,2.1362993002228237,0.03177983533944817,7.857597777097817,0.016512785428514472
Sepsis,EAL,0.940567391871262,0.004982914141619867,0.2329737069219028,0.007446284126930667,2.1172723041444157,0.03014182628461154,7.848786760236308,0.016064070804534925
Sepsis,SERA,6.905224915310266,0.020920001971355386,7.700013216179575,0.021295423257857427,5.343690877456974,0.021295337450879817,0.8772275400081723,0.010039115217870358
Sepsis,SMOGN,0.9884399768142089,0.0009912335957819585,0.2817202169799024,0.003615745373791225,2.1627342124555113,0.006016944176484924,7.895039223137566,0.0063376932733227795
Sepsis,Survival,2.213540910787308,0.3296368031750661,2.178807457822662,0.4051132712597603,1.9904327018039272,0.27396782193536223,4.5804536978757096,0.35595161370919964
Sepsis,Vanilla,0.9445122975293995,0.004180563194592222,0.27202313620609103,0.01827067548853072,2.027585685438397,0.033387904148981906,7.764532217587233,0.03978386630125029
