Dataset,Quantile,Execution_Level,Method,AUC-Average,AUC-Std,PR-AUC-Average,PR-AUC-Std
Sepsis,0.9,0.25,SERA,0.6642036124794746,0.0017416423181934777,0.09960683982767371,0.00010293547064599082
Sepsis,0.9,0.5,Quantile,0.6292282430213465,0.02071017045278615,0.06833132050189436,0.0127948734173554
Sepsis,0.9,0.5,Vanilla,0.7293924466338259,0.020014999188473166,0.09281113360310474,0.007359294713992028
Sepsis,0.9,0.5,CSW,0.7180623973727422,0.007627076625611552,0.09355693048877232,0.002735726884450197
Sepsis,0.9,0.5,EAL,0.6912972085385878,0.029670461411482163,0.08013019101915259,0.007849393592788556
Sepsis,0.9,0.5,BMSE,0.6500821018062397,0.041351118970762636,0.08539143022445582,0.012776556346677749
Sepsis,0.9,0.5,SERA,0.7085385878489326,0.0,0.07765284392741692,0.0
Sepsis,0.9,0.75,Quantile,0.6077175697865353,0.011485452882833178,0.051029103455242995,0.004367962650016058
Sepsis,0.9,0.75,Vanilla,0.644991789819376,0.01694164355987015,0.05318329003899438,0.0039496929668944815
Sepsis,0.9,0.75,CSW,0.6504105090311987,0.005903342532757833,0.05418274997822779,0.0018080763674568705
Sepsis,0.9,0.75,EAL,0.6252873563218392,0.0205631837091052,0.05033300650165669,0.002096947458998752
Sepsis,0.9,0.75,BMSE,0.6206896551724138,0.03112297441876007,0.05098872946419647,0.0046880498780068405
Sepsis,0.9,0.75,SERA,0.6288998357963875,0.0,0.04776442434532416,0.0
Sepsis,0.95,0.25,Quantile,0.6048076923076923,0.1650236445314364,0.016876752727305964,0.014887305400681184
Sepsis,0.95,0.25,Vanilla,0.9173076923076924,0.0705273877726625,0.10158119658119658,0.08986199962064055
Sepsis,0.95,0.25,CSW,0.9423076923076923,0.04022403973721516,0.11466666666666665,0.07865536642001401
Sepsis,0.95,0.25,EAL,0.6596153846153846,0.15753539331822863,0.01661558725512214,0.007570082291536134
